idx,title_raw,text_raw,title,text,content
0387659,"

                    SYSTEMS AND METHODS FOR ADJUSTING THE OUTPUT OF A FIELD MEASUREMENT SYSTEM TO CONFORM TO AGRONOMY MEASUREMENTS                
","
            The present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. In particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric.         ",systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements,"the present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. in particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric.","systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements the present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. in particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric."
10729058,"

                    Systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements                
","
            The present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. In particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric.         ",systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements,"the present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. in particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric.","systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements the present disclosure provides systems and methods for adjusting the output of a field measurement system to conform to agronomy measurements. in particular, the present subject matter is directed to a calibration process and system that uses a calibration model to convert field measurement data expressed according to an automatic system metric into agronomy data that is expressed according to an agronomy metric."
6745128,"

                    Methods and systems for managing farmland                
","
            Methods and systems for characterizing and managing plots of land is provided. Information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. The management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. The management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.        ",methods and systems for managing farmland,"methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.","methods and systems for managing farmland methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land."
6549852,"

                    Methods and systems for managing farmland                
","
            Methods and systems for characterizing and managing plots of land is provided. Information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. The management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. The management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.        ",methods and systems for managing farmland,"methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.","methods and systems for managing farmland methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land."
0018431,"

                    METHODS AND SYSTEMS FOR MANAGING FARMLAND                
","
            Methods and systems for characterizing and managing plots of land is provided. Information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. The management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. The management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.        ",methods and systems for managing farmland,"methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.","methods and systems for managing farmland methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land."
0125877,"

                    Methods and systems for managing farmland                
","
            Methods and systems for characterizing and managing plots of land is provided. Information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. The management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. The management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.        ",methods and systems for managing farmland,"methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land.","methods and systems for managing farmland methods and systems for characterizing and managing plots of land is provided. information related to elevation, soil conductivity, crop yield, and grower history is organized into profiles to generate a management zone profile. the management zone profile divides the plot of land into agronomy zones having attributable characteristics related to the elevation, soil conductivity, crop yield, and grower history information. the management zone profile is utilized to create a variable prescription of items, such as fertilizer, seed and pesticides, to be applied to the plot of land."
0155623,"

                    Agronomy bonus system and method                
","
            A method and system for encouraging farmers to sell at least portions of their production through an agricultural cooperative entity, wherein a farmer earns price discounts and/or rebates for purchases from the entity of inputs to his or her production upon sale of such production. The farmer contracts to sale such production either at or above a set price on a fixed date by way of selling a Chicago Board of Trade or a Minneapolis Grain Exchange call option or a swap in the Over The Counter Market or, if that price is not achieved, to sale within a year of his or her contract at a price of his or her choosing. The rebate or discount, as a portion of the call option or swap premium received, is then made available to the farmer for purchasing any of selected inputs available through the entity.        ",agronomy bonus system and method,"a method and system for encouraging farmers to sell at least portions of their production through an agricultural cooperative entity, wherein a farmer earns price discounts and/or rebates for purchases from the entity of inputs to his or her production upon sale of such production. the farmer contracts to sale such production either at or above a set price on a fixed date by way of selling a chicago board of trade or a minneapolis grain exchange call option or a swap in the over the counter market or, if that price is not achieved, to sale within a year of his or her contract at a price of his or her choosing. the rebate or discount, as a portion of the call option or swap premium received, is then made available to the farmer for purchasing any of selected inputs available through the entity.","agronomy bonus system and method a method and system for encouraging farmers to sell at least portions of their production through an agricultural cooperative entity, wherein a farmer earns price discounts and/or rebates for purchases from the entity of inputs to his or her production upon sale of such production. the farmer contracts to sale such production either at or above a set price on a fixed date by way of selling a chicago board of trade or a minneapolis grain exchange call option or a swap in the over the counter market or, if that price is not achieved, to sale within a year of his or her contract at a price of his or her choosing. the rebate or discount, as a portion of the call option or swap premium received, is then made available to the farmer for purchasing any of selected inputs available through the entity."
10796261,"

                    Agricultural enterprise management method and system                
","
            A computer-implemented cloud-based agricultural enterprise management system and methods. The system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. The producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. Separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components.         ",agricultural enterprise management method and system,"a computer-implemented cloud-based agricultural enterprise management system and methods. the system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. the producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components.","agricultural enterprise management method and system a computer-implemented cloud-based agricultural enterprise management system and methods. the system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. the producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components."
0394579,"

                                    AGRICULTURAL ENTERPRISE MANAGEMENT METHOD AND SYSTEM                                
","
                                United States Patent Application 20200394579                            
Kind Code:
                            

                                A1                            
",agricultural enterprise management method and system,united states patent application 20200394579                            kind code:                                                            a1,agricultural enterprise management method and system united states patent application 20200394579                            kind code:                                                            a1
0322426,"

                    AGRICULTURAL ENTERPRISE MANAGEMENT METHOD AND SYSTEM                
","
            A computer-implemented cloud-based agricultural enterprise management system and methods. The system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. The producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. Separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components.         ",agricultural enterprise management method and system,"a computer-implemented cloud-based agricultural enterprise management system and methods. the system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. the producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components.","agricultural enterprise management method and system a computer-implemented cloud-based agricultural enterprise management system and methods. the system comprises a plurality of modular components for receiving and processing data pertaining to agricultural production of commodities by an agricultural producer and for centralizing and storing the received and/or processed data in a single cloud-based database. the producer can provide to one or more third-party suppliers and/or service providers, authorized but restricted access to selected components of their agricultural enterprise management system and cloud-based database so that together, the producer, suppliers and service providers can effectively and cost-efficiently plan and manage the delivery of products and services during a crop production cycle, and the sale of harvested agricultural commodities. separate modular components may be provided for inputs exemplified by agronomy data, crop production inputs data, crop growth and performance tracking, commodity market data, weather monitoring and forecasting, farm equipment maintenance, enterprise management overhead components."
